"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8920213","338615","118950","338168","266637","388761","69664","59102","141337","866862","560538","1073498","3325655","1627152","1663353","1194859","1158612","",
"Afghanistan","AFG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247748","302707","1070147","5144499","1489031","1858694","1950417","3614505","4872125","3607944","3968947","9945986","6296633","5832068","8585833","6202700","4819147","6256686","917486","15123662","8424644","",
"Andorra","AND","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3914459","5577625","8330815","6432320","3511781","4113229","10193596","9822198","16410433","27459185","25375265","16789361","31340088","15234546","8789758","17876901","17190617","18556300","20172634","16200929","","","",
"Arab World","ARB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860898536","825554239","944144169","1089504504","1240958210","1313697416","1716825714","1762952704","2132942126","1631056824","2419538790","2416003819","2599340987","2770923934","","","","",
"United Arab Emirates","ARE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15771","136590","51757","","","","","","6367751","5003130","17105411","7267038","8237510","10354212","43157534","26369910","39672400","204925025","13938327","28169075","54586712","486535642","457478966","1555995856","834367361","429174936","",
"Argentina","ARG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255887224","271336431","247037164","285394512","400463473","460222625","544457420","599028286","797074012","800150443","600022456","710281801","761458020","840303735","1043916907","1139881387","1948517138","1546820304","1628113368","1862450242","1601051638","1745160318","1473214194","1442450760","1300925701","",
"Armenia","ARM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6386519","","3142316","3966685","6167674","3442977","4703718","4226900","3457721","5101971","3992200","6476229","3937441","3759946","5737622","7045295","8886596","8317916","11067794","21142634","",
"American Samoa","ASM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20012","1813","","","","","22896","","1208","","","","","","","","","","",
"Australia","AUS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","414725495","519795441","675284627","885009286","978796278","1160642748","1700360879","1811951850","1917702397","1937328232","1568134784","1617003942","2758523559","2676687071","2957074170","2744814896","3100450495","3284430694","3371725564","3302057949","3793610041","3249473216","3916557449","4859392142","4760970576","4565211317","4691411621","4237456601","4572080828","",
"Austria","AUT","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2162211455","1994376539","2891238329","3132868371","3320381762","3133580514","4008244239","4469661909","4498407835","5428243580","5889045124","6360053017","7359867511","7692868384","9507515015","11393207594","14708635263","13019354902","14330800978","14554088272","15326989392","12254877472","13721385414","15705949135","16175823634","18412394058","19269819029","15947437007","21001937581","",
"Azerbaijan","AZE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2823315","4932667","10870354","7831002","6170398","9074523","10144360","8654984","8262913","6099097","9073107","15493641","6470757","4422662","5712075","8042867","41513310","71872403","32605511","9446115","9132464","",
"Burundi","BDI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2177","29968","7769","","","2358","392","57","7034","98465","251014","119141","154570","20353","698983","1099093","1996065","529867","39","446314","48346","345775","762143","","",
"Belgium","BEL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13477829593","15704395243","16346161208","15375807398","18197887754","20958529240","23385203121","23738808555","25185339614","28302042123","29552842926","31948749412","34680646884","36503921134","41673751056","43698592018","38855955864","38067700071","",
"Benin","BEN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15305","148538","14093","14813","297865","21078","14905","24452","50971","228291","490789","829993","135491","202121","810987","549020","3979179","1523076","1317651","",
"Burkina Faso","BFA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172258","445361","2487441","1145352","1502311","1056535","2064834","653221","1282039","2397221","5708913","","1869252","231380","258159","2864513","2552612","10454118","13894791","13333668","5393895","5010517","",
"Bangladesh","BGD","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4005721","5837385","3408766","3035062","345012","1335012","928701","1939473","265612","3488515","","10591240","9126275","6571088","14958984","15967424","27624176","23480859","133700302","58908946","37952009","31530160","39378724","102064991","61194987","","90773161","","",
"Bulgaria","BGR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113391231","113063685","79629580","67230302","78619198","89940248","146746565","220010271","251557237","331842164","492315052","614618711","754677723","709153582","802458914","1015453449","982455482","1127909384","1079617724","1107680340","1185954426","",
"Bahrain","BHR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5760544","16248895","24337685","","","","217021","61808","51347","706072","445176","407033","329821","487802","37433131","295469","964226","1619723","6695609","18873835","46729049","23467871","21343155","",
"Bahamas, The","BHS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8059253","1340953","7208849","586422","2312792","","","666","727334","300","","76","3454","","","","","","","",
"Bosnia and Herzegovina","BIH","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10132143","17005162","28055487","46146287","56222543","133149252","78689990","70648090","102729055","77945331","80264967","91727882","96042566","93494459","",
"Belarus","BLR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206808991","156755982","182809700","206087500","217841300","231850900","227388400","224373500","277732200","358219800","418870600","319054500","406565000","510644600","620056400","766682600","660475200","560689500","605644400","",
"Belize","BLZ","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","","","","509","918827","4","166","90","12169","62","2400","685987","9617","4424","13109","","268516","","","","","","",
"Bermuda","BMU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","488596","2627023","2491211","1013119","1244848","",
"Bolivia","BOL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6453859","5369799","10911312","27424049","66483465","14850276","168718061","295989143","157943440","37717669","14914743","20960117","27811183","27275120","96497620","15413394","17442409","14815916","37069777","48204595","52913604","44104415","33144149","24935819","15493718","",
