"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","120","238","391","","386","","","","361","","8","","4","3","5","4","",
"Andorra","AND","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","",
"Arab World","ARB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","2033","2465","1931","1829","1806","1945","1953","1841","2176","2305","1984","1846","2002","2127","1948","1862","","1725","","","","","","1202","","","1499","1815","1780","2081","2131","","3318","","2428","2073","1892","1746","1946","2891","","4738","","","4874","6324","","6387","6135","7489","6399","",
"United Arab Emirates","ARE","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1325","1331","1408","1443","1738","","",
"Argentina","ARG","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","5500","5096","2327","4205","4074","3703","3037","2547","2800","2862","3168","3063","3321","2793","2443","2656","","","","","","1955","1851","1919","2261","2820","3588","4012","5035","5459","5558","5574","5088","4143","3765","3816","4215","4597","4806","4781","4336","4165","4133","4078","4129","4173","3579","2925","",
"Armenia","ARM","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","79","98","154","121","8","16","8","15","7","6","","2","1","5","4","11","6","19","4","6","2","2","1","",
"American Samoa","ASM","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7","7","15","10","12","",
"Australia","AUS","Patent applications, nonresidents","IP.PAT.NRES","","","","9470","10162","11027","11562","11675","12511","13376","12459","12016","11559","11809","11650","9771","9797","9882","9573","9896","9354","9807","9572","9529","10212","","","","","","","","","","","12277","13221","15398","16063","17960","20073","20548","20181","19176","20274","21302","23166","24122","23525","21187","22478","23143","23731","26656","23968","26314","25774","",
"Austria","AUT","Patent applications, nonresidents","IP.PAT.NRES","","","","7945","8479","9118","9514","9238","10246","9728","9519","9055","8807","8642","8039","7386","7360","7066","7081","5770","4166","3428","2620","2322","1891","1591","1336","1272","1048","915","670","544","517","513","516","458","449","397","349","341","340","284","329","213","266","235","378","287","329","292","249","276","294","244","271","236","237","",
"Azerbaijan","AZE","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","17","","","","","10","7","18","7","6","13","8","7","17","17","12","","","","","19","",
"Burundi","BDI","Patent applications, nonresidents","IP.PAT.NRES","","","","","","3","14","10","6","11","4","5","3","2","4","6","7","6","4","1","10","5","2","2","7","","2","","","1","3","","2","1","4","1","4","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Patent applications, nonresidents","IP.PAT.NRES","","","","","","15044","15744","15152","16068","16158","15848","15099","14620","14481","13619","12164","11753","11453","9683","6864","5104","3918","2944","2261","1966","1476","1334","889","776","663","613","574","499","679","446","355","310","269","249","249","243","264","147","188","122","105","161","163","133","148","140","127","127","161","137","148","119","",
"Benin","BEN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
